"id","displayname","createdatetime","modifiedDateTime","state","sessionControls","includeApplications","excludeApplications","includeUserActions","signInRiskLevels","clientAppTypes","deviceStates","Includeusers","excludeUsers","includeGroups","excludeGroups","includeRoles","excludeRoles","Includeplatforms","excludeplatforms","includeLocations","excludeLocations","includeDeviceStates","excludeDeviceStates","grantoperator","grantbuiltInControls","customAuthenticationFactors","termsOfUse"
"2500a7bc-e797-473c-a6cc-06598085310e","BL01 - ALL APP : Block for all users - Except hybrid AD joined, O365 users profile, admin APP - any time ","","2020-05-14T14:16:34.5057815Z","enabled","","All ","","","","browser mobileAppsAndDesktopClients","","All ","","","O365.users.profile1 O365.users.profile2 O365.users.profile3 ","","Company Administrator ","windows macOS","android iOS macOS","All","","All","Compliant DomainJoined","OR","block","",""
"7a3ef9a3-3723-4e19-b4ef-34d9f246c473","BL02 - ALL cloud APP : Block for all users with high-risk connection - any time ","","2020-05-12T08:21:52.2464223Z","enabled","","All ","","","high","browser mobileAppsAndDesktopClients","","All ","MOD Administrator ","","","","","","",""," ","","","OR","block","",""
"1353dc56-cd6e-477a-8d8a-b374b1554a5b","GR01 - All Cloud APP : Require MFA for admins - any time","","2020-05-14T14:19:08.4769665Z","enabled","","All ","","","","browser mobileAppsAndDesktopClients","","","","","","Azure DevOps Administrator Azure Information Protection Administrator Application Administrator External ID User Flow Attribute Administrator Cloud Device Administrator Cloud Application Administrator Office Apps Administrator Privileged Authentication Administrator Authentication Administrator Hybrid Identity Administrator User Account Administrator Compliance Administrator Billing Administrator External Identity Provider Administrator Groups Administrator B2C IEF Keyset Administrator Conditional Access Administrator Printer Administrator Security Administrator License Administrator Password Administrator Power Platform Administrator Search Administrator Privileged Role Administrator B2C IEF Policy Administrator Service Support Administrator Teams Communications Administrator Compliance Data Administrator Desktop Analytics Administrator External ID User Flow Administrator Teams Service Administrator Helpdesk Administrator CRM Service Administrator Exchange Service Administrator Company Administrator Intune Service Administrator Kaizala Administrator Power BI Service Administrator Network Administrator SharePoint Service Administrator Lync Service Administrator ","","all","","All","","All","","OR","mfa","",""
"e1a89c5c-94d4-4bf7-bbfe-7406ecffed4c","GR02 - All Cloud APP - except MFA buypass Users & hybrid ad joined & compliante: Require MFA for all users - Any time","","2020-05-14T14:19:23.8346627Z","enabled","","All ","","","","browser mobileAppsAndDesktopClients","","All ","","","","","","","",""," ","All","Compliant DomainJoined","OR","mfa","",""
"f88a3be0-c101-4fef-8877-5f39e9dd09a5","GR03 - Coporate APP: Require approved client App for all user on Mobile - Any time ","","2020-05-12T08:30:40.6656997Z","enabled","","Office365 ","","","","browser mobileAppsAndDesktopClients","","All ","","","","","","android iOS","","All","","","","OR","approvedApplication","",""
"b843710d-1bef-47ac-972e-84a14e402211","GR04 - Coporate App: Require MFA for O365 users profile 1 - Any time","2020-05-12T08:37:17.8463317Z","","enabled","","Office365 ","","","","browser mobileAppsAndDesktopClients","","","","O365.users.profile1 ","","","","all","","All","","","","OR","mfa","",""
"4d79e75b-ea72-404f-bc58-9a9db6eaf369","GR05 - Intune Enrollment : Require MFA for O365 users profile 2 & 3 - any time","2020-05-12T08:39:30.3507134Z","","enabled","","Microsoft Intune Microsoft Intune Enrollment ","","","","browser mobileAppsAndDesktopClients","","","","O365.users.profile2 O365.users.profile3 ","","","","","",""," ","All","Compliant DomainJoined","OR","mfa","",""
"82259d50-ae5a-44a1-882a-0a733ae727cf","BL05 - All APP - Except Exchange & teams & intune & Mobile : Block for O365 users profile 2 & 3 with not compliante device - Any time","","2020-05-22T13:37:48.0761406Z","enabled","","All ","Microsoft Intune Microsoft Intune Enrollment Microsoft Teams Services Office 365 Exchange Online ","","","browser mobileAppsAndDesktopClients","","GuestsOrExternalUsers ","MOD Administrator GuestsOrExternalUsers ","O365.users.profile2 O365.users.profile3 ","","Company Administrator ","Compliance Administrator ","windows macOS","android iOS macOS","All","Home ","All","Compliant DomainJoined","OR","block","",""
"e450af2a-52f6-49a3-8538-1cef8530a667","GR06 - Exchange & teams : require MFA for O365 users profile 2 & 3 with not compliante device - Any time","2020-05-12T08:47:54.2888476Z","","enabled","","Microsoft Teams Services Office 365 Exchange Online ","","","","browser mobileAppsAndDesktopClients","","","","O365.users.profile2 O365.users.profile3 ","","","","","",""," ","All","Compliant","OR","mfa","",""
"fc194f74-295f-451d-9e2a-400781c9fcd6","BL04 - ALL cloud APP - Except office O365 : block for O365 users profile 1 - Any time","2020-05-12T08:58:38.6868402Z","","enabled","","All ","Office365 ","","","browser mobileAppsAndDesktopClients","","","","O365.users.profile1 ","","","","all","","All","","All","","OR","block","",""
"42e7bdab-2c9e-479f-a26b-2437235316d9","test","","2020-05-23T12:08:02.0616577Z","enabledForReportingButNotEnforced","","None ","","","high medium","exchangeActiveSync browser mobileAppsAndDesktopClients other","","Adele Vance ","","","","","","android iOS","android iOS macOS","All","","All","Compliant DomainJoined","AND","mfa compliantDevice domainJoinedDevice approvedApplication compliantApplication","",""
